shift,z_dist,strain,gap
0.4,6.571428571428571,0.9961538461538462,"(0.8717639482529672, 1.358234168200299, 0.48647021994733175)"
0.4,6.571428571428571,0.9976923076923077,"(0.8463007533970687, 1.323540586150926, 0.4772398327538573)"
0.4,6.571428571428571,0.9992307692307693,"(0.8237907618551044, 1.2911282310657968, 0.4673374692106924)"
0.4,6.571428571428571,1.0007692307692309,"(0.7980432983702674, 1.256628822050904, 0.45858552368063665)"
0.4,6.571428571428571,1.0023076923076923,"(0.7746432615662066, 1.2239221911175953, 0.4492789295513887)"
0.4,6.571428571428571,1.0038461538461538,"(0.7511472642114687, 1.1911005022340815, 0.4399532380226127)"
0.4,6.571428571428571,1.0053846153846153,"(0.7279423426984254, 1.1584128097468158, 0.4304704670483904)"
0.4,6.571428571428571,1.006923076923077,"(0.7047993602555604, 1.1258716913174938, 0.4210723310619333)"
0.4,6.571428571428571,1.0084615384615385,"(0.6826190685120177, 1.093981883734626, 0.4113628152226083)"
0.4,6.571428571428571,1.01,"(0.6601491391348905, 1.0619338800064677, 0.40178474087157723)"
0.4,6.642857142857142,0.99,"(0.9755503350481706, 1.4775401462775328, 0.5019898112293623)"
0.4,6.642857142857142,0.9915384615384615,"(0.9608682595406144, 1.4430895149100662, 0.4822212553694519)"
0.4,6.642857142857142,0.9930769230769231,"(0.9423619652640125, 1.4088676586725786, 0.4665056934085661)"
0.4,6.642857142857142,0.9946153846153846,"(0.9174210325673062, 1.3748323360361145, 0.4574113034688084)"
0.4,6.642857142857142,0.9961538461538462,"(0.8916655764639393, 1.340828784587096, 0.4491632081231568)"
0.4,6.642857142857142,0.9976923076923077,"(0.8656110768212395, 1.306636934223438, 0.4410258574021985)"
0.4,6.642857142857142,0.9992307692307693,"(0.8421019450255642, 1.27372680833315, 0.43162486330758587)"
0.4,6.642857142857142,1.0007692307692309,"(0.8187000363292718, 1.241066408261874, 0.4223663719326023)"
0.4,6.642857142857142,1.0023076923076923,"(0.794010527701343, 1.207725336330923, 0.41371480862958016)"
0.4,6.642857142857142,1.0038461538461538,"(0.7692869542179924, 1.1741664985940488, 0.40487954437605633)"
