distance,shift,gap
6.960526315789473450e+00,2.105263157894736725e-01,8.894381119619595433e-01
7.000000000000000000e+00,2.105263157894736725e-01,8.851105544327340091e-01
6.250000000000000000e+00,2.631578947368420907e-01,6.918922170848658126e-01
6.289473684210526550e+00,2.631578947368420907e-01,7.137515527751652211e-01
6.328947368421052211e+00,2.631578947368420907e-01,7.339646547742038063e-01
6.368421052631578760e+00,2.631578947368420907e-01,7.546862601676044280e-01
6.407894736842105310e+00,2.631578947368420907e-01,7.702951826499333521e-01
6.447368421052631859e+00,2.631578947368420907e-01,7.866715116088509596e-01
6.486842105263157521e+00,2.631578947368420907e-01,8.022997928271881074e-01
6.526315789473684070e+00,2.631578947368420907e-01,8.164011438205754922e-01
6.565789473684210620e+00,2.631578947368420907e-01,8.298747381401301304e-01
6.605263157894737169e+00,2.631578947368420907e-01,8.410871930223080550e-01
6.644736842105262831e+00,2.631578947368420907e-01,8.527848266878284011e-01
6.684210526315789380e+00,2.631578947368420907e-01,8.624385461903418815e-01
6.723684210526315930e+00,2.631578947368420907e-01,8.713308077062658086e-01
6.763157894736842479e+00,2.631578947368420907e-01,8.796768034060067354e-01
6.802631578947368141e+00,2.631578947368420907e-01,8.876270821216317719e-01
6.842105263157894690e+00,2.631578947368420907e-01,8.949806548086483016e-01
6.881578947368421240e+00,2.631578947368420907e-01,8.970296304217018069e-01
6.921052631578946901e+00,2.631578947368420907e-01,8.934806226608471569e-01
6.960526315789473450e+00,2.631578947368420907e-01,8.893117761685032097e-01
7.000000000000000000e+00,2.631578947368420907e-01,8.850477431483756430e-01
6.250000000000000000e+00,3.157894736842105088e-01,7.063710830242525551e-01
6.289473684210526550e+00,3.157894736842105088e-01,7.295528007535869719e-01
6.328947368421052211e+00,3.157894736842105088e-01,7.480465334535110200e-01
6.368421052631578760e+00,3.157894736842105088e-01,7.639767447874987738e-01
6.407894736842105310e+00,3.157894736842105088e-01,7.808171678844076924e-01
6.447368421052631859e+00,3.157894736842105088e-01,7.967104598424660233e-01
6.486842105263157521e+00,3.157894736842105088e-01,8.106539488726118847e-01
6.526315789473684070e+00,3.157894736842105088e-01,8.243074460566984785e-01
6.565789473684210620e+00,3.157894736842105088e-01,8.359791139411769656e-01
6.605263157894737169e+00,3.157894736842105088e-01,8.474955989294896685e-01
6.644736842105262831e+00,3.157894736842105088e-01,8.580303901812921241e-01
6.684210526315789380e+00,3.157894736842105088e-01,8.673061059142463947e-01
6.723684210526315930e+00,3.157894736842105088e-01,8.755562470950121190e-01
6.763157894736842479e+00,3.157894736842105088e-01,8.837891768664642989e-01
6.802631578947368141e+00,3.157894736842105088e-01,8.909303831166439647e-01
6.842105263157894690e+00,3.157894736842105088e-01,8.982470211615665168e-01
6.881578947368421240e+00,3.157894736842105088e-01,8.965763611803927446e-01
6.921052631578946901e+00,3.157894736842105088e-01,8.931930090919603105e-01
6.960526315789473450e+00,3.157894736842105088e-01,8.890434385245391535e-01
7.000000000000000000e+00,3.157894736842105088e-01,8.849132384076012769e-01
6.250000000000000000e+00,3.684210526315789269e-01,7.202024438212590862e-01
6.289473684210526550e+00,3.684210526315789269e-01,7.401110157799706268e-01
6.328947368421052211e+00,3.684210526315789269e-01,7.564716008545743220e-01
6.368421052631578760e+00,3.684210526315789269e-01,7.741126150517619875e-01
6.407894736842105310e+00,3.684210526315789269e-01,7.896310903188181740e-01
6.447368421052631859e+00,3.684210526315789269e-01,8.041489463746374078e-01
6.486842105263157521e+00,3.684210526315789269e-01,8.186610204526455492e-01
6.526315789473684070e+00,3.684210526315789269e-01,8.308063429336081107e-01
6.565789473684210620e+00,3.684210526315789269e-01,8.410912102887013742e-01
6.605263157894737169e+00,3.684210526315789269e-01,8.524421792787773011e-01
6.644736842105262831e+00,3.684210526315789269e-01,8.621333637115181636e-01
6.684210526315789380e+00,3.684210526315789269e-01,8.712394688744086180e-01
6.723684210526315930e+00,3.684210526315789269e-01,8.791085178384132615e-01
6.763157894736842479e+00,3.684210526315789269e-01,8.871255852354570370e-01
6.802631578947368141e+00,3.684210526315789269e-01,8.936969178281133352e-01
6.842105263157894690e+00,3.684210526315789269e-01,9.002296336356748752e-01
6.881578947368421240e+00,3.684210526315789269e-01,8.961680267540310663e-01
6.921052631578946901e+00,3.684210526315789269e-01,8.928692604864105764e-01
6.960526315789473450e+00,3.684210526315789269e-01,8.887079262896572240e-01
7.000000000000000000e+00,3.684210526315789269e-01,8.847470698866408689e-01
6.250000000000000000e+00,4.210526315789473450e-01,7.279325802468435969e-01
6.289473684210526550e+00,4.210526315789473450e-01,7.465354314647109080e-01
6.328947368421052211e+00,4.210526315789473450e-01,7.642948720358160308e-01
6.368421052631578760e+00,4.210526315789473450e-01,7.800381625025206711e-01
6.407894736842105310e+00,4.210526315789473450e-01,7.952106601141093467e-01
6.447368421052631859e+00,4.210526315789473450e-01,8.095231575157465498e-01
6.486842105263157521e+00,4.210526315789473450e-01,8.217077936447458875e-01
6.526315789473684070e+00,4.210526315789473450e-01,8.340615725923911095e-01
6.565789473684210620e+00,4.210526315789473450e-01,8.452577051061358482e-01
6.605263157894737169e+00,4.210526315789473450e-01,8.551961212755598840e-01
6.644736842105262831e+00,4.210526315789473450e-01,8.649688700140647502e-01
6.684210526315789380e+00,4.210526315789473450e-01,8.739734606521076810e-01
6.723684210526315930e+00,4.210526315789473450e-01,8.813315359937642368e-01
6.763157894736842479e+00,4.210526315789473450e-01,8.894294900713679564e-01
